0001c85d72--61a49eecd1a18f2c6e472b1c,e0610328ec5269cf1d8722d84b1730a3,MALE,34,HIGH,"['EN', 'KK', 'RU']",RU,54,RU,722.0705748,PERSONAL_COMPUTER
0001c85d72--61a49eecdf1a9f1b44f40aa2,b1afccb3f3d31b87950ea2288b5f1166,MALE,37,HIGH,['RU'],RU,54,RU,498.7237752,PERSONAL_COMPUTER
0001c85d72--61a49eed19f867278f679f18,e5b08ba71c8758cc5ab2de102854516f,FEMALE,32,HIGH,['RU'],RU,240,RU,150.0,PERSONAL_COMPUTER
0001c85d72--61a49eedd71f496ef5f27b4d,261b893c172b2803ae6b87a19b2c8b4d,MALE,31,MIDDLE,"['EN', 'RU', 'UK']",UA,222,UA,727.2081972,PERSONAL_COMPUTER
0001c85d72--61a49eee36c0ca241805804a,4aa156d76710f513814aea50b8abf21c,FEMALE,31,HIGH,"['DE', 'EN', 'RU']",RU,213,RU,301.8634618,PERSONAL_COMPUTER
0001c85d72--61a49eeeb18cd522a78d09c1,f3c12db4bbdfc9aeace25ea0eaf5edca,FEMALE,34,MIDDLE,['RU'],RU,972,RU,522.7774978,SMARTPHONE
0001c85d72--61a49eef49de9440ab26ab68,215ad3f2374dd2b23c89ce6d43e394e8,FEMALE,30,BASIC,"['EN', 'RU', 'UK']",RU,2,RU,491.9798971,PERSONAL_COMPUTER
0001c85d72--61a49eefe062e0329b5dad2c,27e60592fe902b5cecc3299c9a95014b,MALE,40,HIGH,['RU'],RU,12,RU,727.3286582,SMARTPHONE
0001c85d72--61a49ef0730d430f1c7ce710,a28038ce3d4959e05cc23e689a410563,MALE,29,HIGH,"['EN', 'RU']",RU,13,RU,117.0402319,PERSONAL_COMPUTER
0001c85d72--61a49ef09a61e701b28ddc8f,25eb424c3972b5d83882d56ade99ee51,FEMALE,44,HIGH,['RU'],UA,222,UA,643.1691647,PERSONAL_COMPUTER
0001c85d72--61a49ef1aa5aeb53e6d993b7,51f0833c8d0381c9ac728f2b39d9ff97,FEMALE,72,HIGH,"['RU', 'UK']",UA,20221,UA,651.198566,PERSONAL_COMPUTER
0001c85d72--61a49ef51581be7452eb4646,4d269eecf5696cc57a8c60a8300daf64,FEMALE,56,HIGH,"['EN', 'RU']",RU,193,RU,400.1052678,PERSONAL_COMPUTER
0001c85d72--61a49ef5d1a18f2c6e472b5e,1efb160546848f943b7c779c577e87f2,FEMALE,49,MIDDLE,['RU'],RU,20249,RU,150.0,SMARTPHONE
0001c85d72--61a49ef77d8e8a6cd14e2ac8,9cd3b88985b80dd581f87bf6be6658b2,FEMALE,69,MIDDLE,"['EN', 'RU', 'TR', 'UK']",UA,21774,UA,578.693688,SMARTPHONE
0001c85d72--61a49ef91b257732732e0572,fa841b3c0e1248ac3184dae204a6c001,FEMALE,65,HIGH,['RU'],RU,197,RU,320.521921,PERSONAL_COMPUTER
0001c85d72--61a49ef98db89163f3b39330,9f223b0a97d33a0c598926ac4e84d684,MALE,51,HIGH,['RU'],RU,11038,UA,519.1908479,PERSONAL_COMPUTER
0001c85d72--61a49ef9e7acf11fd7009357,8c54521ac9d842e3e4751a60dfe77f3a,FEMALE,25,MIDDLE,['RU'],RU,37,RU,548.9251018,PERSONAL_COMPUTER
0001c85d72--61a49efaddf9b111d953d28c,9507ac507dc745029e7f118719234463,FEMALE,42,HIGH,['RU'],RU,39,RU,566.0117269,SMARTPHONE
0001c85d72--61a49efc84f7d02731f7e2c4,7cb2eeddd6bb66c82196b84a051a7dff,MALE,43,BASIC,"['RU', 'UK']",UA,10357,UA,28.846154,PERSONAL_COMPUTER
0001c85d72--61a49efd085110367c5f4060,fee74b936188b1f3eb53f9bccab17ae7,FEMALE,25,HIGH,"['DE', 'EN', 'PL', 'RU']",RU,20,RU,94.3751038,PERSONAL_COMPUTER
0001c85d72--61a49efd1581be7452eb46b4,ca634dccba47e3f138b1315150145c9b,MALE,35,HIGH,['RU'],RU,38,RU,285.5738402,PERSONAL_COMPUTER
0001c85d72--61a49efd6e96a71ea1c43143,89ace149bae187ec9ce8c3b46f3f8e86,FEMALE,23,MIDDLE,['RU'],RU,10668,RU,241.290316,PERSONAL_COMPUTER
0001c85d72--61a49efe79775d0c18932533,59e419821117cb1d28f1f229a2a280b3,FEMALE,30,,"['EN', 'ES', 'RU']",RU,213,RU,498.1344045,PERSONAL_COMPUTER
0001c85d72--61a49efe8fd00f4f06f99213,039a3fe8b4bc6c877a4a807534c016bc,MALE,40,MIDDLE,['RU'],RU,213,RU,51.3617658,SMARTPHONE
0001c85d72--61a49f01874d6d2602e96ff7,f0a2ae8ee74fa9bb7838280b950f4ece,FEMALE,43,HIGH,['RU'],RU,21641,RU,150.0,PERSONAL_COMPUTER
0001c85d72--61a49f05aeaf5378e8fd44a3,02ef4df0cda2f473697700af40d791e1,MALE,34,BASIC,['RU'],RU,64,RU,320.2487231,PERSONAL_COMPUTER
0001c85d72--61a49f06730d430f1c7ce7dd,557e135f5b41e2271429740b543c53a2,FEMALE,47,HIGH,"['BE', 'EN', 'RU', 'UK']",UA,965,UA,638.7857795,SMARTPHONE
0001c85d72--61a49f06f647311f12f0681a,f147ce33bec0553276c5c21e6da8f60f,MALE,48,BASIC,['RU'],RU,11098,RU,706.5306306,PERSONAL_COMPUTER
0001c85d72--61a49f078386f378737189a6,4b69947b5d8a7599b092b9900b877c63,FEMALE,33,BASIC,['RU'],RU,20666,RU,505.6527257,PERSONAL_COMPUTER
0001c85d72--61a49f07f647311f12f0681f,56ad1592d5e19ddfa97fbb32f455dddb,MALE,33,BASIC,"['EN', 'RU']",RU,213,RU,93.1952149,PERSONAL_COMPUTER
0001c85d72--61a49f08f647311f12f0683b,5b62f7e9a14083ab0d5cd11ab9ae444f,MALE,45,HIGH,['RU'],RU,213,RU,808.7346554,PERSONAL_COMPUTER
0001c85d72--61a49f090e309f43dd981613,ca5bdcdb4661ff9d5a86af2d13001260,FEMALE,47,MIDDLE,"['DE', 'EN', 'RU']",RU,10959,RU,150.0,PERSONAL_COMPUTER
0001c85d72--61a49f098fd00f4f06f992e6,26e835b1c42c63ec5de9771038a99dab,MALE,46,MIDDLE,['RU'],RU,54,RU,623.8441468,PERSONAL_COMPUTER
0001c85d72--61a49f0ae7acf11fd7009446,a859ef41c695f2ea1d6d23bd4699e91e,MALE,37,,['RU'],RU,65,RU,116.2337065,PERSONAL_COMPUTER
0001c85d72--61a49f0caa5aeb53e6d99508,b9d54185177f37ce767b49a92c5aac93,FEMALE,25,HIGH,['RU'],UA,24886,UA,45.3703702,PERSONAL_COMPUTER
0001c85d72--61a49f0d485348628ee92162,462fe6eecf6412b9d399482970332a31,FEMALE,36,MIDDLE,['RU'],RU,64,RU,629.7482253,PERSONAL_COMPUTER
0001c85d72--61a49f0dddf9b111d953d536,04fd4f6fc701dd0c2a14f1851ba1895c,MALE,24,HIGH,"['CV', 'RU', 'TT']",RU,43,RU,93.1952149,PERSONAL_COMPUTER
0001c85d72--61a49f0fca05504927ce35c9,33ad4d51f760188d4075619c08fbb2be,FEMALE,54,MIDDLE,['RU'],RU,2,RU,322.6698339,PERSONAL_COMPUTER
0001c85d72--61a49f12449bb448b9531ed6,df0c5ed51d8e695fab5be150ed0dcb35,FEMALE,55,HIGH,"['BE', 'ES', 'RU', 'UK']",BY,21193,BY,431.4187766,PERSONAL_COMPUTER
0001c85d72--61a49f1265aa5f74235312b9,e9975413b2d25269343c518306f5bcb0,MALE,35,MIDDLE,['RU'],RU,213,RU,553.1708599,PERSONAL_COMPUTER
0001c85d72--61a49f138db89163f3b39493,afd34e45ad1aa1b98ff7201541b7c17e,FEMALE,27,HIGH,['RU'],RU,7,RU,500.5841852,PERSONAL_COMPUTER
0001c85d72--61a49f14b4895c414f771d20,df09510412fd1514fb776e13453985f6,FEMALE,31,HIGH,"['DE', 'EN', 'RU', 'UK']",UA,24880,UA,523.5193968,PERSONAL_COMPUTER
0001c85d72--61a49f14d1a18f2c6e472cd8,79253587c50a24ee24309bcc780c01b6,MALE,34,BASIC,"['DE', 'EN', 'ES', 'RU', 'TR']",RU,8,RU,318.122089,SMARTPHONE
0001c85d72--61a49f150a826a21bd8da785,094bed61c87ae72761c1fbac7f0af795,MALE,36,HIGH,"['BE', 'RU']",BY,154,BY,728.7960649,PERSONAL_COMPUTER
0001c85d72--61a49f1575c21c11674ca59d,4fed0044e290a2b4a14e90f76321260c,,60,,['RU'],RU,11143,RU,572.4596382,PERSONAL_COMPUTER
0001c85d72--61a49f17085110367c5f4168,afaee108f14be83a4ffaf9f50562ae37,MALE,26,MIDDLE,"['EN', 'RU']",RU,146,RU,178.394422,SMARTPHONE
0001c85d72--61a49f180ca02164923ff78e,69dbad6c36f17eac8a588faf8b1c0863,MALE,38,HIGH,"['DE', 'RU']",RU,11269,RU,599.3592144,SMARTPHONE
0001c85d72--61a49f19bdd533711ce8564e,bbfddd635fd22df2b4139b595c371ab4,MALE,40,MIDDLE,['RU'],RU,10704,RU,469.0329135,PERSONAL_COMPUTER
0001c85d72--61a49f1a0e309f43dd9816b0,744471f2d65515df7e7faa2b3c638045,FEMALE,28,HIGH,['RU'],BY,153,BY,621.7189432,PERSONAL_COMPUTER
0001c85d72--61a49f1b79775d0c1893265c,017177fd311e18d68ab6c5bb977d3ac9,MALE,32,HIGH,"['EN', 'RU']",RU,20,RU,657.331884,PERSONAL_COMPUTER
0001c85d72--61a49f1d485348628ee92230,bc9f0382704c12890536a40d278baacc,FEMALE,39,HIGH,"['EN', 'KK', 'RU']",KZ,163,KZ,135.3802532,PERSONAL_COMPUTER
0001c85d72--61a49f1d54ac7c4fb37ad50b,f7dc3f8bbfbf0ca5582c5ca067fd917b,MALE,37,HIGH,"['BE', 'EN', 'RU', 'UK']",RU,240,RU,311.9583726,PERSONAL_COMPUTER
0001c85d72--61a49f1fd974cb53c022b37e,772e4117b845b86ddd72b4ddbb997981,MALE,32,HIGH,"['BE', 'RU', 'UK']",RU,39,RU,555.8766127,TABLET
0001c85d72--61a49f208386f37873718a44,ee6f5e7225955b426c4dbdf800f34270,FEMALE,45,HIGH,['RU'],RU,10,RU,411.2551511,SMARTPHONE
0001c85d72--61a49f20ca05504927ce36a4,9842b21f74aac6a492920d93b8fa004f,MALE,34,BASIC,"['EN', 'RU']",RU,49,RU,398.5980452,PERSONAL_COMPUTER
0001c85d72--61a49f210ca02164923ff80e,b9ce7bd19f2ab7c2a47e11ab41bef468,,28,,['RU'],UA,21774,UA,470.238179,SMARTPHONE
0001c85d72--61a49f21aefe9c52fa36c9c8,3795bca17b76771372d2861da98aed9f,FEMALE,29,HIGH,['RU'],RU,213,RU,713.3566738,SMARTPHONE
0001c85d72--61a49f21d71f496ef5f27d38,d0a333f84cbb193bd646a2a4c52cde90,MALE,51,MIDDLE,['RU'],RU,50,RU,429.2724729,SMARTPHONE
0001c85d72--61a49f240a826a21bd8da828,bff2d615efdc0ab01a0a504314abeff2,MALE,44,MIDDLE,['RU'],RU,1107,RU,150.0,PERSONAL_COMPUTER
0001c85d72--61a49f24a8049c071d7565f5,470bf87219247651f41d1794ce4d8551,MALE,32,HIGH,"['RU', 'UK']",RU,8,RU,440.9929216,PERSONAL_COMPUTER
0001c85d72--61a49f3e2d65f31986056ba5,44eef4606a226568365db2d5cd849c91,FEMALE,61,MIDDLE,['RU'],RU,195,RU,162.2445584,PERSONAL_COMPUTER
0001c85d72--61a49f49e062e0329b5db0ef,01e711b160152e6812087e51d68047fc,MALE,34,HIGH,['RU'],RU,2,RU,544.6770788,SMARTPHONE
0001c85d72--61a49fa6b749852ef5669983,ee06f6d2f7df3d6c8d831906c1e8670b,MALE,63,HIGH,['RU'],BY,21193,BY,382.434547,PERSONAL_COMPUTER
